feature,importance
cat__HYPERTENSION_1.0,0.52280426
cat__BMI_CAT_Obese,0.09445069
cat__CHOLESTEROL_1.0,0.090554066
cat__BMI_CAT_Normal weight,0.051125437
cat__PHYS_ACTIVITY_1.0,0.049714148
cat__EDUCATION_6.0,0.036706146
cat__SEX_Female,0.024052793
cat__ALCOHOL_FREQ_Monthly,0.022395128
num__AGE,0.018247165
cat__INCOME_11.0,0.011936573
cat__HYPERTENSION_3.0,0.006285209
cat__INCOME_10.0,0.0059473137
cat__INCOME_9.0,0.0057665496
cat__SMOKING_4.0,0.0046803993
cat__INCOME_1.0,0.0041363165
cat__EDUCATION_2.0,0.0040382072
cat__BMI_CAT_Underweight,0.0037185957
cat__INCOME_4.0,0.0034848226
cat__INCOME_5.0,0.0034841765
cat__INCOME_6.0,0.0034403917
cat__EDUCATION_3.0,0.0034156502
cat__EDUCATION_5.0,0.0033885776
cat__INCOME_8.0,0.003242588
cat__INCOME_3.0,0.0032349548
cat__BMI_CAT_Overweight,0.0026760069
cat__SMOKING_3.0,0.0026426988
cat__SMOKING_1.0,0.0026300028
cat__HYPERTENSION_4.0,0.00234061
cat__INCOME_7.0,0.0023195476
cat__INCOME_2.0,0.0018691563
cat__EDUCATION_4.0,0.0017689598
cat__EDUCATION_9.0,0.0015285101
cat__SMOKING_2.0,0.0014781473
cat__EDUCATION_1.0,0.0004960945
cat__SEX_Male,0.0
cat__PHYS_ACTIVITY_2.0,0.0
cat__CHOLESTEROL_2.0,0.0
cat__ALCOHOL_FREQ_Weekly,0.0
