subgroup,group,support,positive_cases,prevalence_diabetes,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,fpr,fnr
SEX,Female,13914,1135,0.08157251688946385,0.799010904798725,0.2640475568106333,0.2825958702064897,0.4220264317180617,0.3385159010600707,11563,1216,656,479,0.09515611550199546,0.5779735682819384
SEX,Male,16027,1980,0.12354152367879204,0.7795121428566292,0.32352984399330564,0.29500914554481317,0.5702020202020202,0.388841053900465,11349,2698,851,1129,0.1920694810279775,0.4297979797979798
INCOME_GROUP,High income,25339,2396,0.09455779628241051,0.7917004175332684,0.27874359120005354,0.2821586988664367,0.47787979966611016,0.3548187170746824,20030,2913,1251,1145,0.12696683084165106,0.5221202003338898
INCOME_GROUP,Low income,4602,719,0.15623641894828336,0.7730440846785156,0.3702617905292372,0.3162568306010929,0.6439499304589708,0.42418689876316995,2882,1001,256,463,0.2577903682719547,0.3560500695410292
AGE_GROUP,Old,18974,2660,0.140191841467271,0.741231238725722,0.31345206622887617,0.29026583268178263,0.5582706766917294,0.3819444444444444,12683,3631,1175,1485,0.22256957214662254,0.4417293233082707
AGE_GROUP,Young,10967,455,0.041488100665633264,0.8127562220884138,0.2258059723394398,0.30295566502463056,0.2703296703296703,0.2857142857142857,10229,283,332,123,0.026921613394216132,0.7296703296703296
EDUCATION_GROUP,High education,23824,2278,0.0956178643384822,0.7915774889863425,0.2816526066358465,0.2859383167799268,0.48024582967515367,0.3584534731323722,18814,2732,1184,1094,0.12679847767567065,0.5197541703248464
EDUCATION_GROUP,Low education,6117,837,0.13683178028445317,0.7845495727888201,0.35330677484923667,0.30306603773584906,0.6140979689366786,0.4058428740623766,4098,1182,323,514,0.22386363636363638,0.3859020310633214
AGE_EDUCATION_GROUP,Old | High education,15020,1954,0.13009320905459387,0.7378760159624211,0.2920086986086594,0.28426395939086296,0.5158648925281474,0.36654545454545456,10528,2538,946,1008,0.19424460431654678,0.4841351074718526
AGE_EDUCATION_GROUP,Old | Low education,3954,706,0.17855336368234698,0.7371468081469179,0.36658477960767843,0.3038216560509554,0.6756373937677054,0.4191564147627416,2155,1093,229,477,0.33651477832512317,0.3243626062322946
AGE_EDUCATION_GROUP,Young | High education,8804,324,0.03680145388459791,0.8093595315047752,0.20807860412554327,0.30714285714285716,0.2654320987654321,0.2847682119205298,8286,194,238,86,0.022877358490566036,0.7345679012345679
AGE_EDUCATION_GROUP,Young | Low education,2163,131,0.06056403143781785,0.8076087936527019,0.2735706228884194,0.29365079365079366,0.2824427480916031,0.28793774319066145,1943,89,94,37,0.043799212598425195,0.7175572519083969
SEX_INCOME_GROUP,Female | High income,11533,800,0.06936616665221539,0.7976684640827354,0.23211547924622983,0.27087198515769945,0.365,0.3109691160809372,9947,786,508,292,0.07323208795304202,0.635
SEX_INCOME_GROUP,Female | Low income,2381,335,0.14069718605627887,0.761015304708131,0.3280947986132844,0.30307941653160453,0.5582089552238806,0.39285714285714285,1616,430,148,187,0.2101661779081134,0.4417910447761194
SEX_INCOME_GROUP,Male | High income,13806,1596,0.1156019122120817,0.7751359613201718,0.3003033834808226,0.28624161073825505,0.5344611528822055,0.3728146853146853,10083,2127,743,853,0.1742014742014742,0.4655388471177945
SEX_INCOME_GROUP,Male | Low income,2221,384,0.1728950923007654,0.7803533557884231,0.4055678899022595,0.32585596221959856,0.71875,0.44841592201462227,1266,571,108,276,0.31083287969515516,0.28125
